,slot-f1,intent-acc.,intact_intent-acc.,intact_slot-f1,dataset,perturbation,split,transformer_model,random_seed,n_perturbed,dataset_config,"confusion_matrix (gold, perturbed)",success_rate,"confusion_matrix (intact, perturbed)",all_intent-acc.,all_slot-f1
0,0.8402741170268846,0.932,0.932,0.8443271767810027,xSID,perturb_2_verb_clusters,test,google/rembert,8765,5,ende.xSID,"Counter({('reminder/show_reminders', 'SearchCreativeWork'): 13, ('PlayMusic', 'SearchCreativeWork'): 12, ('AddToPlaylist', 'SearchCreativeWork'): 8, ('reminder/cancel_reminder', 'alarm/cancel_alarm'): 7, ('SearchScreeningEvent', 'SearchCreativeWork'): 6, ('alarm/cancel_alarm', 'alarm/set_alarm'): 3, ('reminder/cancel_reminder', 'AddToPlaylist'): 1, ('reminder/show_reminders', 'weather/find'): 1, ('reminder/set_reminder', 'alarm/set_alarm'): 1, ('alarm/snooze_alarm', 'alarm/set_alarm'): 1, ('alarm/time_left_on_alarm', 'alarm/show_alarms'): 1, ('alarm/set_alarm', 'reminder/set_reminder'): 1, ('PlayMusic', 'alarm/set_alarm'): 1, ('SearchScreeningEvent', 'BookRestaurant'): 1, ('AddToPlaylist', 'alarm/set_alarm'): 1, ('AddToPlaylist', 'BookRestaurant'): 1})",0,Counter(),0.882,0.6058315334773219
1,0.8402741170268846,0.932,0.932,0.8443271767810027,xSID,perturb_als_in_comparative_constructions,test,google/rembert,8765,4,ende.xSID,"Counter({('reminder/show_reminders', 'SearchCreativeWork'): 13, ('PlayMusic', 'SearchCreativeWork'): 12, ('AddToPlaylist', 'SearchCreativeWork'): 8, ('reminder/cancel_reminder', 'alarm/cancel_alarm'): 7, ('SearchScreeningEvent', 'SearchCreativeWork'): 6, ('alarm/cancel_alarm', 'alarm/set_alarm'): 3, ('reminder/cancel_reminder', 'AddToPlaylist'): 1, ('reminder/show_reminders', 'weather/find'): 1, ('reminder/set_reminder', 'alarm/set_alarm'): 1, ('alarm/snooze_alarm', 'alarm/set_alarm'): 1, ('alarm/time_left_on_alarm', 'alarm/show_alarms'): 1, ('alarm/set_alarm', 'reminder/set_reminder'): 1, ('PlayMusic', 'alarm/set_alarm'): 1, ('SearchScreeningEvent', 'BookRestaurant'): 1, ('AddToPlaylist', 'alarm/set_alarm'): 1, ('AddToPlaylist', 'BookRestaurant'): 1})",0,Counter(),0.882,0.6058315334773219
2,0.8375527426160337,0.93,0.932,0.8443271767810027,xSID,perturb_am_infinitive,test,google/rembert,8765,21,ende.xSID,"Counter({('reminder/show_reminders', 'SearchCreativeWork'): 13, ('PlayMusic', 'SearchCreativeWork'): 12, ('AddToPlaylist', 'SearchCreativeWork'): 8, ('reminder/cancel_reminder', 'alarm/cancel_alarm'): 7, ('SearchScreeningEvent', 'SearchCreativeWork'): 6, ('alarm/cancel_alarm', 'alarm/set_alarm'): 3, ('reminder/cancel_reminder', 'AddToPlaylist'): 1, ('reminder/show_reminders', 'weather/find'): 1, ('reminder/set_reminder', 'alarm/set_alarm'): 1, ('alarm/snooze_alarm', 'alarm/set_alarm'): 1, ('alarm/time_left_on_alarm', 'alarm/show_alarms'): 1, ('alarm/set_alarm', 'reminder/set_reminder'): 1, ('PlayMusic', 'alarm/set_alarm'): 1, ('SearchScreeningEvent', 'BookRestaurant'): 1, ('AddToPlaylist', 'alarm/set_alarm'): 1, ('AddToPlaylist', 'BookRestaurant'): 1})",1,"Counter({('SearchScreeningEvent', 'SearchCreativeWork'): 1})",0.882,0.6058315334773219
3,0.8027426160337554,0.932,0.932,0.8443271767810027,xSID,perturb_article_before_personal_name,test,google/rembert,8765,38,ende.xSID,"Counter({('reminder/show_reminders', 'SearchCreativeWork'): 13, ('PlayMusic', 'SearchCreativeWork'): 12, ('AddToPlaylist', 'SearchCreativeWork'): 8, ('reminder/cancel_reminder', 'alarm/cancel_alarm'): 7, ('SearchScreeningEvent', 'SearchCreativeWork'): 6, ('alarm/cancel_alarm', 'alarm/set_alarm'): 3, ('reminder/cancel_reminder', 'AddToPlaylist'): 1, ('reminder/show_reminders', 'weather/find'): 1, ('reminder/set_reminder', 'alarm/set_alarm'): 1, ('alarm/snooze_alarm', 'alarm/set_alarm'): 1, ('alarm/time_left_on_alarm', 'alarm/show_alarms'): 1, ('alarm/set_alarm', 'reminder/set_reminder'): 1, ('PlayMusic', 'alarm/set_alarm'): 1, ('SearchScreeningEvent', 'BookRestaurant'): 1, ('AddToPlaylist', 'alarm/set_alarm'): 1, ('AddToPlaylist', 'BookRestaurant'): 1})",0,Counter(),0.882,0.6058315334773219
4,0.7488201363398008,0.932,0.932,0.8443271767810027,xSID,perturb_contracted_verb_and_pronoun,test,google/rembert,8765,58,ende.xSID,"Counter({('reminder/show_reminders', 'SearchCreativeWork'): 13, ('PlayMusic', 'SearchCreativeWork'): 12, ('AddToPlaylist', 'SearchCreativeWork'): 8, ('reminder/cancel_reminder', 'alarm/cancel_alarm'): 7, ('SearchScreeningEvent', 'SearchCreativeWork'): 6, ('alarm/cancel_alarm', 'alarm/set_alarm'): 3, ('reminder/cancel_reminder', 'AddToPlaylist'): 1, ('reminder/show_reminders', 'weather/find'): 1, ('reminder/set_reminder', 'alarm/set_alarm'): 1, ('alarm/snooze_alarm', 'alarm/set_alarm'): 1, ('alarm/time_left_on_alarm', 'alarm/show_alarms'): 1, ('alarm/set_alarm', 'reminder/set_reminder'): 1, ('PlayMusic', 'alarm/set_alarm'): 1, ('SearchScreeningEvent', 'BookRestaurant'): 1, ('AddToPlaylist', 'alarm/set_alarm'): 1, ('AddToPlaylist', 'BookRestaurant'): 1})",0,Counter(),0.882,0.6058315334773219
5,0.8402741170268846,0.932,0.932,0.8443271767810027,xSID,perturb_da,test,google/rembert,8765,4,ende.xSID,"Counter({('reminder/show_reminders', 'SearchCreativeWork'): 13, ('PlayMusic', 'SearchCreativeWork'): 12, ('AddToPlaylist', 'SearchCreativeWork'): 8, ('reminder/cancel_reminder', 'alarm/cancel_alarm'): 7, ('SearchScreeningEvent', 'SearchCreativeWork'): 6, ('alarm/cancel_alarm', 'alarm/set_alarm'): 3, ('reminder/cancel_reminder', 'AddToPlaylist'): 1, ('reminder/show_reminders', 'weather/find'): 1, ('reminder/set_reminder', 'alarm/set_alarm'): 1, ('alarm/snooze_alarm', 'alarm/set_alarm'): 1, ('alarm/time_left_on_alarm', 'alarm/show_alarms'): 1, ('alarm/set_alarm', 'reminder/set_reminder'): 1, ('PlayMusic', 'alarm/set_alarm'): 1, ('SearchScreeningEvent', 'BookRestaurant'): 1, ('AddToPlaylist', 'alarm/set_alarm'): 1, ('AddToPlaylist', 'BookRestaurant'): 1})",0,Counter(),0.882,0.6058315334773219
6,0.6694870438921207,0.932,0.932,0.8443271767810027,xSID,perturb_denn_in_questions,test,google/rembert,8765,120,ende.xSID,"Counter({('reminder/show_reminders', 'SearchCreativeWork'): 13, ('PlayMusic', 'SearchCreativeWork'): 12, ('AddToPlaylist', 'SearchCreativeWork'): 8, ('reminder/cancel_reminder', 'alarm/cancel_alarm'): 7, ('SearchScreeningEvent', 'SearchCreativeWork'): 6, ('alarm/cancel_alarm', 'alarm/set_alarm'): 3, ('reminder/cancel_reminder', 'AddToPlaylist'): 1, ('reminder/show_reminders', 'weather/find'): 1, ('reminder/set_reminder', 'alarm/set_alarm'): 1, ('alarm/snooze_alarm', 'alarm/set_alarm'): 1, ('alarm/time_left_on_alarm', 'alarm/show_alarms'): 1, ('alarm/set_alarm', 'reminder/set_reminder'): 1, ('PlayMusic', 'alarm/set_alarm'): 1, ('SearchScreeningEvent', 'BookRestaurant'): 1, ('AddToPlaylist', 'alarm/set_alarm'): 1, ('AddToPlaylist', 'BookRestaurant'): 1})",0,Counter(),0.882,0.6058315334773219
7,0.8402741170268846,0.932,0.932,0.8443271767810027,xSID,perturb_double_article,test,google/rembert,8765,4,ende.xSID,"Counter({('reminder/show_reminders', 'SearchCreativeWork'): 13, ('PlayMusic', 'SearchCreativeWork'): 12, ('AddToPlaylist', 'SearchCreativeWork'): 8, ('reminder/cancel_reminder', 'alarm/cancel_alarm'): 7, ('SearchScreeningEvent', 'SearchCreativeWork'): 6, ('alarm/cancel_alarm', 'alarm/set_alarm'): 3, ('reminder/cancel_reminder', 'AddToPlaylist'): 1, ('reminder/show_reminders', 'weather/find'): 1, ('reminder/set_reminder', 'alarm/set_alarm'): 1, ('alarm/snooze_alarm', 'alarm/set_alarm'): 1, ('alarm/time_left_on_alarm', 'alarm/show_alarms'): 1, ('alarm/set_alarm', 'reminder/set_reminder'): 1, ('PlayMusic', 'alarm/set_alarm'): 1, ('SearchScreeningEvent', 'BookRestaurant'): 1, ('AddToPlaylist', 'alarm/set_alarm'): 1, ('AddToPlaylist', 'BookRestaurant'): 1})",0,Counter(),0.882,0.6058315334773219
8,0.8402741170268846,0.932,0.932,0.8443271767810027,xSID,perturb_existential_clause,test,google/rembert,8765,4,ende.xSID,"Counter({('reminder/show_reminders', 'SearchCreativeWork'): 13, ('PlayMusic', 'SearchCreativeWork'): 12, ('AddToPlaylist', 'SearchCreativeWork'): 8, ('reminder/cancel_reminder', 'alarm/cancel_alarm'): 7, ('SearchScreeningEvent', 'SearchCreativeWork'): 6, ('alarm/cancel_alarm', 'alarm/set_alarm'): 3, ('reminder/cancel_reminder', 'AddToPlaylist'): 1, ('reminder/show_reminders', 'weather/find'): 1, ('reminder/set_reminder', 'alarm/set_alarm'): 1, ('alarm/snooze_alarm', 'alarm/set_alarm'): 1, ('alarm/time_left_on_alarm', 'alarm/show_alarms'): 1, ('alarm/set_alarm', 'reminder/set_reminder'): 1, ('PlayMusic', 'alarm/set_alarm'): 1, ('SearchScreeningEvent', 'BookRestaurant'): 1, ('AddToPlaylist', 'alarm/set_alarm'): 1, ('AddToPlaylist', 'BookRestaurant'): 1})",0,Counter(),0.882,0.6058315334773219
9,0.8282402528977872,0.932,0.932,0.8443271767810027,xSID,perturb_genitive_to_dativ,test,google/rembert,8765,13,ende.xSID,"Counter({('reminder/show_reminders', 'SearchCreativeWork'): 13, ('PlayMusic', 'SearchCreativeWork'): 12, ('AddToPlaylist', 'SearchCreativeWork'): 8, ('reminder/cancel_reminder', 'alarm/cancel_alarm'): 7, ('SearchScreeningEvent', 'SearchCreativeWork'): 6, ('alarm/cancel_alarm', 'alarm/set_alarm'): 3, ('reminder/cancel_reminder', 'AddToPlaylist'): 1, ('reminder/show_reminders', 'weather/find'): 1, ('reminder/set_reminder', 'alarm/set_alarm'): 1, ('alarm/snooze_alarm', 'alarm/set_alarm'): 1, ('alarm/time_left_on_alarm', 'alarm/show_alarms'): 1, ('alarm/set_alarm', 'reminder/set_reminder'): 1, ('PlayMusic', 'alarm/set_alarm'): 1, ('SearchScreeningEvent', 'BookRestaurant'): 1, ('AddToPlaylist', 'alarm/set_alarm'): 1, ('AddToPlaylist', 'BookRestaurant'): 1})",0,Counter(),0.882,0.6058315334773219
10,0.8343881856540084,0.932,0.932,0.8443271767810027,xSID,perturb_in,test,google/rembert,8765,45,ende.xSID,"Counter({('reminder/show_reminders', 'SearchCreativeWork'): 13, ('PlayMusic', 'SearchCreativeWork'): 12, ('AddToPlaylist', 'SearchCreativeWork'): 8, ('reminder/cancel_reminder', 'alarm/cancel_alarm'): 7, ('SearchScreeningEvent', 'SearchCreativeWork'): 6, ('alarm/cancel_alarm', 'alarm/set_alarm'): 3, ('reminder/cancel_reminder', 'AddToPlaylist'): 1, ('reminder/show_reminders', 'weather/find'): 1, ('reminder/set_reminder', 'alarm/set_alarm'): 1, ('alarm/snooze_alarm', 'alarm/set_alarm'): 1, ('alarm/time_left_on_alarm', 'alarm/show_alarms'): 1, ('alarm/set_alarm', 'reminder/set_reminder'): 1, ('PlayMusic', 'alarm/set_alarm'): 1, ('SearchScreeningEvent', 'BookRestaurant'): 1, ('AddToPlaylist', 'alarm/set_alarm'): 1, ('AddToPlaylist', 'BookRestaurant'): 1})",0,Counter(),0.882,0.6058315334773219
11,0.8402741170268846,0.932,0.932,0.8443271767810027,xSID,perturb_nach,test,google/rembert,8765,6,ende.xSID,"Counter({('reminder/show_reminders', 'SearchCreativeWork'): 13, ('PlayMusic', 'SearchCreativeWork'): 12, ('AddToPlaylist', 'SearchCreativeWork'): 8, ('reminder/cancel_reminder', 'alarm/cancel_alarm'): 7, ('SearchScreeningEvent', 'SearchCreativeWork'): 6, ('alarm/cancel_alarm', 'alarm/set_alarm'): 3, ('reminder/cancel_reminder', 'AddToPlaylist'): 1, ('reminder/show_reminders', 'weather/find'): 1, ('reminder/set_reminder', 'alarm/set_alarm'): 1, ('alarm/snooze_alarm', 'alarm/set_alarm'): 1, ('alarm/time_left_on_alarm', 'alarm/show_alarms'): 1, ('alarm/set_alarm', 'reminder/set_reminder'): 1, ('PlayMusic', 'alarm/set_alarm'): 1, ('SearchScreeningEvent', 'BookRestaurant'): 1, ('AddToPlaylist', 'alarm/set_alarm'): 1, ('AddToPlaylist', 'BookRestaurant'): 1})",0,Counter(),0.882,0.6058315334773219
12,0.8402741170268846,0.932,0.932,0.8443271767810027,xSID,perturb_negative_concord,test,google/rembert,8765,4,ende.xSID,"Counter({('reminder/show_reminders', 'SearchCreativeWork'): 13, ('PlayMusic', 'SearchCreativeWork'): 12, ('AddToPlaylist', 'SearchCreativeWork'): 8, ('reminder/cancel_reminder', 'alarm/cancel_alarm'): 7, ('SearchScreeningEvent', 'SearchCreativeWork'): 6, ('alarm/cancel_alarm', 'alarm/set_alarm'): 3, ('reminder/cancel_reminder', 'AddToPlaylist'): 1, ('reminder/show_reminders', 'weather/find'): 1, ('reminder/set_reminder', 'alarm/set_alarm'): 1, ('alarm/snooze_alarm', 'alarm/set_alarm'): 1, ('alarm/time_left_on_alarm', 'alarm/show_alarms'): 1, ('alarm/set_alarm', 'reminder/set_reminder'): 1, ('PlayMusic', 'alarm/set_alarm'): 1, ('SearchScreeningEvent', 'BookRestaurant'): 1, ('AddToPlaylist', 'alarm/set_alarm'): 1, ('AddToPlaylist', 'BookRestaurant'): 1})",0,Counter(),0.882,0.6058315334773219
