,intent-acc.,slot-f1,intact_intent-acc.,intact_slot-f1,dataset,perturbation,split,transformer_model,random_seed,n_perturbed,dataset_config
0,0.7866666666666666,0.7694859038142621,0.7866666666666666,0.7694859038142621,xSID,perturb_2_verb_clusters,valid,bert-base-multilingual-cased,5498,3,xSID
1,0.7866666666666666,0.7694859038142621,0.7866666666666666,0.7694859038142621,xSID,perturb_als_in_comparative_constructions,valid,bert-base-multilingual-cased,5498,0,xSID
2,0.7866666666666666,0.7622203811101906,0.7866666666666666,0.7694859038142621,xSID,perturb_am_infinitive,valid,bert-base-multilingual-cased,5498,10,xSID
3,0.7866666666666666,0.7036423841059604,0.7866666666666666,0.7694859038142621,xSID,perturb_article_before_personal_name,valid,bert-base-multilingual-cased,5498,23,xSID
4,0.7866666666666666,0.6738768718801996,0.7866666666666666,0.7694859038142621,xSID,perturb_contracted_verb_and_pronoun,valid,bert-base-multilingual-cased,5498,46,xSID
5,0.7866666666666666,0.7694859038142621,0.7866666666666666,0.7694859038142621,xSID,perturb_da,valid,bert-base-multilingual-cased,5498,0,xSID
6,0.7866666666666666,0.6334991708126037,0.7866666666666666,0.7694859038142621,xSID,perturb_denn_in_questions,valid,bert-base-multilingual-cased,5498,69,xSID
7,0.7866666666666666,0.7694859038142621,0.7866666666666666,0.7694859038142621,xSID,perturb_double_article,valid,bert-base-multilingual-cased,5498,0,xSID
8,0.7866666666666666,0.7694859038142621,0.7866666666666666,0.7694859038142621,xSID,perturb_existential_clause,valid,bert-base-multilingual-cased,5498,0,xSID
9,0.7866666666666666,0.766804979253112,0.7866666666666666,0.7694859038142621,xSID,perturb_genitive_to_dativ,valid,bert-base-multilingual-cased,5498,7,xSID
10,0.7866666666666666,0.7624584717607974,0.7866666666666666,0.7694859038142621,xSID,perturb_in,valid,bert-base-multilingual-cased,5498,0,xSID
11,0.7866666666666666,0.7694859038142621,0.7866666666666666,0.7694859038142621,xSID,perturb_nach,valid,bert-base-multilingual-cased,5498,1,xSID
12,0.7866666666666666,0.7694859038142621,0.7866666666666666,0.7694859038142621,xSID,perturb_negative_concord,valid,bert-base-multilingual-cased,5498,0,xSID
13,0.7866666666666666,0.7655343827671914,0.7866666666666666,0.7694859038142621,xSID,perturb_possesive_genitive,valid,bert-base-multilingual-cased,5498,4,xSID
14,0.7866666666666666,0.7694859038142621,0.7866666666666666,0.7694859038142621,xSID,perturb_relative_pronoun,valid,bert-base-multilingual-cased,5498,1,xSID
15,0.7866666666666666,0.7694859038142621,0.7866666666666666,0.7694859038142621,xSID,perturb_schwa_elision_in_verbs,valid,bert-base-multilingual-cased,5498,2,xSID
