,slot-f1,intent-acc.,intact_intent-acc.,intact_slot-f1,dataset,perturbation,split,transformer_model,random_seed,n_perturbed,dataset_config
0,0.0,0.7272727272727273,0.7272727272727273,0.6521079769487412,MTOP,perturb_2_verb_clusters,valid,bert-base-multilingual-cased,1234,50,ende.MTOP
1,0.0,0.7272727272727273,0.7272727272727273,0.6521079769487412,MTOP,perturb_als_in_comparative_constructions,valid,bert-base-multilingual-cased,1234,2,ende.MTOP
2,0.0,0.7245179063360881,0.7272727272727273,0.6521079769487412,MTOP,perturb_am_infinitive,valid,bert-base-multilingual-cased,1234,63,ende.MTOP
3,0.0,0.7201101928374656,0.7272727272727273,0.6521079769487412,MTOP,perturb_article_before_personal_name,valid,bert-base-multilingual-cased,1234,423,ende.MTOP
4,0.0,0.7267217630853995,0.7272727272727273,0.6521079769487412,MTOP,perturb_contracted_verb_and_pronoun,valid,bert-base-multilingual-cased,1234,84,ende.MTOP
5,0.0,0.7272727272727273,0.7272727272727273,0.6521079769487412,MTOP,perturb_da,valid,bert-base-multilingual-cased,1234,2,ende.MTOP
6,0.0,0.7261707988980717,0.7272727272727273,0.6521079769487412,MTOP,perturb_denn_in_questions,valid,bert-base-multilingual-cased,1234,449,ende.MTOP
7,0.0,0.7272727272727273,0.7272727272727273,0.6521079769487412,MTOP,perturb_double_article,valid,bert-base-multilingual-cased,1234,0,ende.MTOP
8,0.0,0.7272727272727273,0.7272727272727273,0.6521079769487412,MTOP,perturb_existential_clause,valid,bert-base-multilingual-cased,1234,0,ende.MTOP
9,0.0,0.7267217630853995,0.7272727272727273,0.6521079769487412,MTOP,perturb_genitive_to_dativ,valid,bert-base-multilingual-cased,1234,56,ende.MTOP
10,0.0,0.7228650137741047,0.7272727272727273,0.6521079769487412,MTOP,perturb_in,valid,bert-base-multilingual-cased,1234,0,ende.MTOP
11,0.0,0.7272727272727273,0.7272727272727273,0.6521079769487412,MTOP,perturb_nach,valid,bert-base-multilingual-cased,1234,2,ende.MTOP
12,0.0,0.7272727272727273,0.7272727272727273,0.6521079769487412,MTOP,perturb_negative_concord,valid,bert-base-multilingual-cased,1234,5,ende.MTOP
13,0.0,0.7261707988980717,0.7272727272727273,0.6521079769487412,MTOP,perturb_possesive_genitive,valid,bert-base-multilingual-cased,1234,29,ende.MTOP
14,0.0,0.7278236914600551,0.7272727272727273,0.6521079769487412,MTOP,perturb_relative_pronoun,valid,bert-base-multilingual-cased,1234,29,ende.MTOP
15,0.0,0.7283746556473829,0.7272727272727273,0.6521079769487412,MTOP,perturb_schwa_elision_in_verbs,valid,bert-base-multilingual-cased,1234,32,ende.MTOP
16,0.0,0.725068870523416,0.7272727272727273,0.6521079769487412,MTOP,perturb_swap_name,valid,bert-base-multilingual-cased,1234,452,ende.MTOP
17,0.0,0.7041322314049587,0.7272727272727273,0.6521079769487412,MTOP,perturb_tun_imperativ,valid,bert-base-multilingual-cased,1234,248,ende.MTOP
18,0.0,0.7247111862496478,0.7249929557621866,0.6699690402476781,MTOP,perturb_2_verb_clusters,test,bert-base-multilingual-cased,1234,81,ende.MTOP
19,0.0,0.7249929557621866,0.7249929557621866,0.6699690402476781,MTOP,perturb_als_in_comparative_constructions,test,bert-base-multilingual-cased,1234,3,ende.MTOP
20,0.0,0.7247111862496478,0.7249929557621866,0.6699690402476781,MTOP,perturb_am_infinitive,test,bert-base-multilingual-cased,1234,125,ende.MTOP
21,0.0,0.7230205691744154,0.7249929557621866,0.6699690402476781,MTOP,perturb_article_before_personal_name,test,bert-base-multilingual-cased,1234,786,ende.MTOP
22,0.0,0.7224570301493378,0.7249929557621866,0.6699690402476781,MTOP,perturb_contracted_verb_and_pronoun,test,bert-base-multilingual-cased,1234,182,ende.MTOP
23,0.0,0.7249929557621866,0.7249929557621866,0.6699690402476781,MTOP,perturb_da,test,bert-base-multilingual-cased,1234,5,ende.MTOP
24,0.0,0.7235841081994928,0.7249929557621866,0.6699690402476781,MTOP,perturb_denn_in_questions,test,bert-base-multilingual-cased,1234,867,ende.MTOP
25,0.0,0.7249929557621866,0.7249929557621866,0.6699690402476781,MTOP,perturb_double_article,test,bert-base-multilingual-cased,1234,0,ende.MTOP
26,0.0,0.7249929557621866,0.7249929557621866,0.6699690402476781,MTOP,perturb_existential_clause,test,bert-base-multilingual-cased,1234,0,ende.MTOP
27,0.0,0.7249929557621866,0.7249929557621866,0.6699690402476781,MTOP,perturb_genitive_to_dativ,test,bert-base-multilingual-cased,1234,91,ende.MTOP
28,0.0,0.7235841081994928,0.7249929557621866,0.6699690402476781,MTOP,perturb_in,test,bert-base-multilingual-cased,1234,0,ende.MTOP
29,0.0,0.7249929557621866,0.7249929557621866,0.6699690402476781,MTOP,perturb_nach,test,bert-base-multilingual-cased,1234,5,ende.MTOP
30,0.0,0.7252747252747253,0.7249929557621866,0.6699690402476781,MTOP,perturb_negative_concord,test,bert-base-multilingual-cased,1234,3,ende.MTOP
31,0.0,0.7238658777120316,0.7249929557621866,0.6699690402476781,MTOP,perturb_possesive_genitive,test,bert-base-multilingual-cased,1234,41,ende.MTOP
32,0.0,0.7247111862496478,0.7249929557621866,0.6699690402476781,MTOP,perturb_relative_pronoun,test,bert-base-multilingual-cased,1234,45,ende.MTOP
33,0.0,0.7249929557621866,0.7249929557621866,0.6699690402476781,MTOP,perturb_schwa_elision_in_verbs,test,bert-base-multilingual-cased,1234,49,ende.MTOP
34,0.0,0.5855170470555086,0.7249929557621866,0.6699690402476781,MTOP,perturb_swap_name,test,bert-base-multilingual-cased,1234,220,ende.MTOP
35,0.0,0.7086503240349394,0.7249929557621866,0.6699690402476781,MTOP,perturb_tun_imperativ,test,bert-base-multilingual-cased,1234,543,ende.MTOP
36,0.0,0.9603305785123967,0.9603305785123967,0.8310852237890864,MTOP,perturb_2_verb_clusters,valid,xlm-roberta-large,1234,50,dede.MTOP
37,0.0,0.9603305785123967,0.9603305785123967,0.8310852237890864,MTOP,perturb_als_in_comparative_constructions,valid,xlm-roberta-large,1234,2,dede.MTOP
38,0.0,0.9581267217630854,0.9603305785123967,0.8310852237890864,MTOP,perturb_am_infinitive,valid,xlm-roberta-large,1234,63,dede.MTOP
39,0.0,0.9586776859504132,0.9603305785123967,0.8310852237890864,MTOP,perturb_article_before_personal_name,valid,xlm-roberta-large,1234,423,dede.MTOP
40,0.0,0.9603305785123967,0.9603305785123967,0.8310852237890864,MTOP,perturb_contracted_verb_and_pronoun,valid,xlm-roberta-large,1234,84,dede.MTOP
41,0.0,0.9603305785123967,0.9603305785123967,0.8310852237890864,MTOP,perturb_da,valid,xlm-roberta-large,1234,2,dede.MTOP
42,0.0,0.9608815426997245,0.9603305785123967,0.8310852237890864,MTOP,perturb_denn_in_questions,valid,xlm-roberta-large,1234,449,dede.MTOP
43,0.0,0.9603305785123967,0.9603305785123967,0.8310852237890864,MTOP,perturb_double_article,valid,xlm-roberta-large,1234,0,dede.MTOP
44,0.0,0.9603305785123967,0.9603305785123967,0.8310852237890864,MTOP,perturb_existential_clause,valid,xlm-roberta-large,1234,0,dede.MTOP
45,0.0,0.9603305785123967,0.9603305785123967,0.8310852237890864,MTOP,perturb_genitive_to_dativ,valid,xlm-roberta-large,1234,56,dede.MTOP
46,0.0,0.9592286501377411,0.9603305785123967,0.8310852237890864,MTOP,perturb_in,valid,xlm-roberta-large,1234,0,dede.MTOP
47,0.0,0.9603305785123967,0.9603305785123967,0.8310852237890864,MTOP,perturb_nach,valid,xlm-roberta-large,1234,2,dede.MTOP
48,0.0,0.9603305785123967,0.9603305785123967,0.8310852237890864,MTOP,perturb_negative_concord,valid,xlm-roberta-large,1234,5,dede.MTOP
49,0.0,0.9603305785123967,0.9603305785123967,0.8310852237890864,MTOP,perturb_possesive_genitive,valid,xlm-roberta-large,1234,29,dede.MTOP
50,0.0,0.9597796143250689,0.9603305785123967,0.8310852237890864,MTOP,perturb_relative_pronoun,valid,xlm-roberta-large,1234,29,dede.MTOP
51,0.0,0.9603305785123967,0.9603305785123967,0.8310852237890864,MTOP,perturb_schwa_elision_in_verbs,valid,xlm-roberta-large,1234,32,dede.MTOP
52,0.0,0.9592286501377411,0.9603305785123967,0.8310852237890864,MTOP,perturb_swap_name,valid,xlm-roberta-large,1234,452,dede.MTOP
