,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,perturbation,transformer_model
0,0.797312,0.923158,0.8812125484666902,0.7973124300111982,perturb_2_verb_clusters,google/rembert
1,0.797312,0.923158,0.8812125484666902,0.7973124300111982,perturb_als_in_comparative_constructions,google/rembert
2,0.797312,0.923158,0.8510713031260978,0.793952967525196,perturb_am_infinitive,google/rembert
3,0.797312,0.923158,0.8812125484666902,0.7973124300111982,perturb_article_before_personal_name,google/rembert
4,0.797312,0.923158,0.8554811420514629,0.7973124300111982,perturb_contracted_verb_and_pronoun,google/rembert
5,0.797312,0.923158,0.8812125484666902,0.7973124300111982,perturb_da,google/rembert
6,0.797312,0.923158,0.8794501233697567,0.7973124300111982,perturb_denn_in_questions,google/rembert
7,0.797312,0.923158,0.8812125484666902,0.7973124300111982,perturb_double_article,google/rembert
8,0.797312,0.923158,0.8812125484666902,0.7973124300111982,perturb_existential_clause,google/rembert
9,0.797312,0.923158,0.8812125484666902,0.7973124300111982,perturb_genitive_to_dativ,google/rembert
10,0.797312,0.923158,0.8784355179704016,0.7973124300111982,perturb_in,google/rembert
11,0.797312,0.923158,0.8803102414948,0.7973124300111982,perturb_nach,google/rembert
12,0.797312,0.923158,0.8812125484666902,0.7973124300111982,perturb_negative_concord,google/rembert
13,0.797312,0.923158,0.8812125484666902,0.7973124300111982,perturb_possesive_genitive,google/rembert
14,0.797312,0.923158,0.8812125484666902,0.7973124300111982,perturb_relative_pronoun,google/rembert
15,0.797312,0.923158,0.8817204301075268,0.7973124300111982,perturb_schwa_elision_in_verbs,google/rembert
16,0.797312,0.923158,0.8812125484666902,0.7973124300111982,perturb_swap_name,google/rembert
17,0.797312,0.923158,0.8046544428772919,0.7973124300111982,perturb_tun_imperativ,google/rembert
18,0.792833,0.92652,0.8842290748898678,0.7928331466965286,perturb_2_verb_clusters,microsoft/mdeberta-v3-base
19,0.792833,0.92652,0.8842290748898678,0.7928331466965286,perturb_als_in_comparative_constructions,microsoft/mdeberta-v3-base
20,0.792833,0.92652,0.8560352422907489,0.7917133258678611,perturb_am_infinitive,microsoft/mdeberta-v3-base
21,0.792833,0.92652,0.8842290748898678,0.7928331466965286,perturb_article_before_personal_name,microsoft/mdeberta-v3-base
22,0.792833,0.92652,0.8588546255506608,0.7928331466965286,perturb_contracted_verb_and_pronoun,microsoft/mdeberta-v3-base
23,0.792833,0.92652,0.8842290748898678,0.7928331466965286,perturb_da,microsoft/mdeberta-v3-base
24,0.792833,0.92652,0.882466960352423,0.7928331466965286,perturb_denn_in_questions,microsoft/mdeberta-v3-base
25,0.792833,0.92652,0.8842290748898678,0.7928331466965286,perturb_double_article,microsoft/mdeberta-v3-base
26,0.792833,0.92652,0.8842290748898678,0.7928331466965286,perturb_existential_clause,microsoft/mdeberta-v3-base
27,0.792833,0.92652,0.8842290748898678,0.7928331466965286,perturb_genitive_to_dativ,microsoft/mdeberta-v3-base
28,0.792833,0.92652,0.8825497446733581,0.7928331466965286,perturb_in,microsoft/mdeberta-v3-base
29,0.792833,0.92652,0.8819175185054634,0.7917133258678611,perturb_nach,microsoft/mdeberta-v3-base
30,0.792833,0.92652,0.8842290748898678,0.7928331466965286,perturb_negative_concord,microsoft/mdeberta-v3-base
31,0.792833,0.92652,0.8842290748898678,0.7928331466965286,perturb_possesive_genitive,microsoft/mdeberta-v3-base
32,0.792833,0.92652,0.8842290748898678,0.7928331466965286,perturb_relative_pronoun,microsoft/mdeberta-v3-base
33,0.792833,0.92652,0.8830666432213821,0.7928331466965286,perturb_schwa_elision_in_verbs,microsoft/mdeberta-v3-base
34,0.792833,0.92652,0.8842290748898678,0.7928331466965286,perturb_swap_name,microsoft/mdeberta-v3-base
35,0.792833,0.92652,0.8053549409899594,0.793952967525196,perturb_tun_imperativ,microsoft/mdeberta-v3-base
36,0.790594,0.926623,0.8845476944737768,0.7905935050391937,perturb_2_verb_clusters,xlm-roberta-base
37,0.790594,0.926623,0.8845476944737768,0.7905935050391937,perturb_als_in_comparative_constructions,xlm-roberta-base
38,0.790594,0.926623,0.8559873395463338,0.7894736842105263,perturb_am_infinitive,xlm-roberta-base
39,0.790594,0.926623,0.8848996832101372,0.7905935050391937,perturb_article_before_personal_name,xlm-roberta-base
40,0.790594,0.926623,0.8592045054558255,0.7905935050391937,perturb_contracted_verb_and_pronoun,xlm-roberta-base
41,0.790594,0.926623,0.8848996832101372,0.7905935050391937,perturb_da,xlm-roberta-base
42,0.790594,0.926623,0.8827877507919746,0.7905935050391937,perturb_denn_in_questions,xlm-roberta-base
43,0.790594,0.926623,0.8845476944737768,0.7905935050391937,perturb_double_article,xlm-roberta-base
44,0.790594,0.926623,0.8848996832101372,0.7905935050391937,perturb_existential_clause,xlm-roberta-base
45,0.790594,0.926623,0.8848996832101372,0.7905935050391937,perturb_genitive_to_dativ,xlm-roberta-base
46,0.790594,0.926623,0.8778773502020735,0.7905935050391937,perturb_in,xlm-roberta-base
47,0.790594,0.926623,0.8832951945080092,0.7905935050391937,perturb_nach,xlm-roberta-base
48,0.790594,0.926623,0.8848996832101372,0.7905935050391937,perturb_negative_concord,xlm-roberta-base
49,0.790594,0.926623,0.8848996832101372,0.7905935050391937,perturb_possesive_genitive,xlm-roberta-base
50,0.790594,0.926623,0.8848996832101372,0.7905935050391937,perturb_relative_pronoun,xlm-roberta-base
51,0.790594,0.926623,0.8874405495860489,0.7905935050391937,perturb_schwa_elision_in_verbs,xlm-roberta-base
52,0.790594,0.926623,0.8845476944737768,0.7905935050391937,perturb_swap_name,xlm-roberta-base
53,0.790594,0.926623,0.8067581837381204,0.7905935050391937,perturb_tun_imperativ,xlm-roberta-base
54,0.791713,0.92489,0.8826737027264733,0.7917133258678611,perturb_2_verb_clusters,bert-base-multilingual-cased
55,0.791713,0.92489,0.8826737027264733,0.7917133258678611,perturb_als_in_comparative_constructions,bert-base-multilingual-cased
56,0.791713,0.92489,0.8467051214822583,0.7905935050391937,perturb_am_infinitive,bert-base-multilingual-cased
57,0.791713,0.92489,0.8826737027264733,0.7917133258678611,perturb_article_before_personal_name,bert-base-multilingual-cased
58,0.791713,0.92489,0.8569920844327177,0.7917133258678611,perturb_contracted_verb_and_pronoun,bert-base-multilingual-cased
59,0.791713,0.92489,0.8826737027264733,0.7917133258678611,perturb_da,bert-base-multilingual-cased
60,0.791713,0.92489,0.880914687774846,0.7917133258678611,perturb_denn_in_questions,bert-base-multilingual-cased
61,0.791713,0.92489,0.8826737027264733,0.7917133258678611,perturb_double_article,bert-base-multilingual-cased
62,0.791713,0.92489,0.8826737027264733,0.7917133258678611,perturb_existential_clause,bert-base-multilingual-cased
63,0.791713,0.92489,0.8826737027264733,0.7917133258678611,perturb_genitive_to_dativ,bert-base-multilingual-cased
64,0.791713,0.92489,0.8810696692470092,0.7917133258678611,perturb_in,bert-base-multilingual-cased
