,intent-acc.,slot-f1,intact_intent-acc.,intact_slot-f1,dataset,perturbation,split,transformer_model,random_seed,n_perturbed,dataset_config
0,0.5622233152975897,0.761015325670498,0.5622233152975897,0.7644380541576804,MASSIVE,perturb_2_verb_clusters,valid,google/mt5-base,1234,57,dede.MASSIVE
1,0.5622233152975897,0.7616766467065869,0.5622233152975897,0.7644380541576804,MASSIVE,perturb_als_in_comparative_constructions,valid,google/mt5-base,1234,1,dede.MASSIVE
2,0.559272011805214,0.75,0.5622233152975897,0.7644380541576804,MASSIVE,perturb_am_infinitive,valid,google/mt5-base,1234,121,dede.MASSIVE
3,0.5612395474667978,0.6625149700598801,0.5622233152975897,0.7644380541576804,MASSIVE,perturb_article_before_personal_name,valid,google/mt5-base,1234,168,dede.MASSIVE
4,0.5622233152975897,0.7203065134099617,0.5622233152975897,0.7644380541576804,MASSIVE,perturb_contracted_verb_and_pronoun,valid,google/mt5-base,1234,89,dede.MASSIVE
5,0.5627151992129857,0.7616766467065869,0.5622233152975897,0.7644380541576804,MASSIVE,perturb_da,valid,google/mt5-base,1234,3,dede.MASSIVE
6,0.5612395474667978,0.5773938084953204,0.5622233152975897,0.7644380541576804,MASSIVE,perturb_denn_in_questions,valid,google/mt5-base,1234,513,dede.MASSIVE
7,0.5622233152975897,0.7616766467065869,0.5622233152975897,0.7644380541576804,MASSIVE,perturb_double_article,valid,google/mt5-base,1234,0,dede.MASSIVE
8,0.5622233152975897,0.7616766467065869,0.5622233152975897,0.7644380541576804,MASSIVE,perturb_existential_clause,valid,google/mt5-base,1234,1,dede.MASSIVE
9,0.5622233152975897,0.7461115099306055,0.5622233152975897,0.7644380541576804,MASSIVE,perturb_genitive_to_dativ,valid,google/mt5-base,1234,91,dede.MASSIVE
10,0.5602557796360059,0.7603543212832177,0.5622233152975897,0.7644380541576804,MASSIVE,perturb_in,valid,google/mt5-base,1234,0,dede.MASSIVE
11,0.5602557796360059,0.7616766467065869,0.5622233152975897,0.7644380541576804,MASSIVE,perturb_nach,valid,google/mt5-base,1234,35,dede.MASSIVE
12,0.5622233152975897,0.7616766467065869,0.5622233152975897,0.7644380541576804,MASSIVE,perturb_negative_concord,valid,google/mt5-base,1234,3,dede.MASSIVE
